dataset,fragment,events,generator,gridpack,time per event,size per event,match efficiency,filter efficiency
HTo2ZdTo2mu2x_MZd-6p0_ctau-10mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-6p0_ctau-10mm_TuneCP5_13p6TeV_pythia8_cff.py,75000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_6p0_ctau_10_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,2.0698877988458366,648.0443,1.0,0.2426
HTo2ZdTo2mu2x_MZd-6p0_ctau-100mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-6p0_ctau-100mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_6p0_ctau_100_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,9.833137177482408,631.1611,1.0,0.2558
HTo2ZdTo2mu2x_MZd-7p0_ctau-1mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-7p0_ctau-1mm_TuneCP5_13p6TeV_pythia8_cff.py,75000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_7p0_ctau_1_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,7.523515019762845,634.1741,1.0,0.253
HTo2ZdTo2mu2x_MZd-7p0_ctau-10mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-7p0_ctau-10mm_TuneCP5_13p6TeV_pythia8_cff.py,75000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_7p0_ctau_10_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,8.101637965260545,649.05,1.0,0.2418
HTo2ZdTo2mu2x_MZd-7p0_ctau-100mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-7p0_ctau-100mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_7p0_ctau_100_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,1.3663138996138997,624.3324,1.0,0.259
HTo2ZdTo2mu2x_MZd-8p0_ctau-1mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-8p0_ctau-1mm_TuneCP5_13p6TeV_pythia8_cff.py,75000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_8p0_ctau_1_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,6.773511501597444,654.6476,1.0,0.2504
HTo2ZdTo2mu2x_MZd-8p0_ctau-10mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-8p0_ctau-10mm_TuneCP5_13p6TeV_pythia8_cff.py,75000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_8p0_ctau_10_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,7.79823734939759,628.7722,1.0,0.249
HTo2ZdTo2mu2x_MZd-8p0_ctau-100mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-8p0_ctau-100mm_TuneCP5_13p6TeV_pythia8_cff.py,100000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_8p0_ctau_100_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,9.371535182250396,623.7637,1.0,0.2524
HTo2ZdTo2mu2x_MZd-10p0_ctau-1mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-10p0_ctau-1mm_TuneCP5_13p6TeV_pythia8_cff.py,75000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_10p0_ctau_1_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,9.803555388272583,656.8384,1.0,0.2524
HTo2ZdTo2mu2x_MZd-10p0_ctau-10mm_TuneCP5_13p6TeV_madgraph-pythia8,genFragments/Generator/Pythia/HTo2ZdTo2mu2x_lowMass/13p6TeV/HTo2ZdTo2mu2x_MZd-10p0_ctau-10mm_TuneCP5_13p6TeV_pythia8_cff.py,75000,madgraph,/cvmfs/cms.cern.ch/phys_generator/gridpacks/RunIII/13p6TeV/slc7_amd64_gcc10/MadGraph5_aMCatNLO/20231108_fernance_DimuonScouting/LL_HAHM_MS_400_kappa_0p01_MZd_10p0_ctau_10_slc7_amd64_gcc10_CMSSW_12_4_8_tarball.tar.xz,10.111545469125902,636.5363,1.0,0.2494
